OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,favoritePartDestinationKentState,anyAdditionalComments
,,,,,,
Give a required review module for all students to take given the time of the year the placement exam is taken. This may help refresh students and actually prep them a little for the assessment. ,,,The time I made the most connections was between actual activities and during dinner. ,Give the students as much free time as possible to talk to each other because the outgoing ones will Spark the others that may be shy. ,The freedom at night being able to meet up with everyone and do our thing. ,
,,,,,,
,,,Idk,?,?,
Make it a requirement to have students do a learning module prior to the test so that they may perform to the best of their ability.,Maybe make the longer.,,Group us students of the same college and same major to be together throughout the entire event and have them room together overnight.,Commuting ,The academic advisor,Some students are not socially confident so try to be more aware of that.
,,,,,,
no,,,"nothing, I just don't make connections quickly",,academic advising.  it's just really nice to have a set trajectory and solid ground.  I also appreciated the parents being kept out.,
,,,Bringing minorities together to meet ,Add in what is the social life like ,The after party and karaoke p,
,,,,,,
No,,,Being put into groups more to talk or do stuff ,,,
,,,,,,
,,,More icebreakers,Campus tour,Evening activities and getting to connect with current students,
N/A,Me and my advisor got along really well,I have no additional feedback,Playing video games together and meeting them in person,"Learning how to navigate through campus and classes(looking for special areas, etc.)",The get together at the Tri-Towers,Have backup plans if the weather doesn't cooperate with DKS
,,,,,My favorite part was to get to meet flashguides that went through the same thing that we are going through right now. ,
,,,Group me,How to get from place to place,,
,,,,,,
No,,,,,,The DKS guides need much more enthusiasm than what was shown off at the event
,,,More ice breaking activities,,,
,,,,Locations,,
,My experience with academic advising was great ! I was very pleased with my schedule and look forward to starting in August.,N/a,,,,N/a
,,,,,,
Make students more aware of taking it before DKS,Very thorough and took time with me individually. I am beyond pleased,,More bonding ,Walling around campus,The dinning and lectures about everything going on,
,Very quick and easy,,"More time alone, rather than as a huge group",A little more specificity on what we’re doing,"The free time from 7:30-10 on Thursday because it gave me time to hang out with all the people Ihad met, many of whom weren’t in my college so I couldn’t talk to them when we would break off into our colleges.",
,,,,,,
,,,N/A,I thought all topics were distributed really well throughout :),I think the free time that we had to explore on our own and spend time with our new friends was really awesome. ,
,,Getting to talk and relate with the flash guides really helped me feel welcomed. The gold team was very welcoming and supportive. They made a point to befriend the students and answer all their questions ,"What did help, was the downtime and just taking that leap of faith to reach out. As wells as the Group Me group  ",Navigation around the campus,The DKS flashguides. They made and effort to make us feel welcomed and made sure we were having fun. They all genuinely cared for each other and that really helped me ,I believe the guides really make DKS worthwhile. As long as the students arriving do their part and participate. It is all so much fun and such a positive environment that they establish   
,,,,,,
,,,,,,
,,,,I think the schedules you got when you checked in should be made available beforehand. ,Splitting off into the individual colleges and getting to learn about others in my college.,
,,,,"focus more on building relationships, and tell students what they need to know. A lot of it felt like i knew the information",i loved meeting new people and playing games and hanging out during the party afterwards. ,
"no, it went smooth ",,,,,,
,"I felt that my advising appointment was very personalized, and it suited my needs very well.  I was provided with information regarding questions I had about scheduling and what to do if I changed my mind about my major.  I felt comfortable after scheduling my classes.",,"I consider myself an introvert until I get to know someone well, but I connected with my roommate almost instantly and I was able to feel comfortable talking to her.  Icebreakers are always awkward, but understanding that it is awkward for everyone helps to ease my nerves and to just be myself.  I usually make connections on my own, so I'm not sure what specifically would help me best, but the activities at DKS helped me a lot.","I would have liked to have gone on a campus tour that was a little more in depth than the one I went on before I applied to Kent State, but I understand that the tour would have a lot of ground to cover, and would therefore take up a lot of time within the schedule.  Otherwise, I can't really think of anything that wasn't covered!","I really enjoyed the Honors College welcome.  It felt comforting to meet a few of my fellow classmates, and because of this I was able to connect very well with my DKS roommate, and also to form a group of mutual friends.  It was comforting to know that I would be able to see these students again in the fall within the Honors College LLC.  I also enjoyed the personalized experience with academic advising and scheduling.  The girl who helped me piece together my schedule for the fall semester was very helpful and made sure that I was comfortable with where I was placing my classes.","I really enjoyed my DKS experience, and it has made me feel very excited about beginning my college journey.  My only complaint:  gloomy weather.  :)"
,,,,,,
,,,,,meeting new people who i instantly connected with made me feel a lot more welcome at kent state,
,,,,,meeting new people. ,
,,,,,,
,,,,,,
Detecting the test was easy.  I thought it was easy to understand and find. No negative feedback.,"I liked my advisor, but the one stop was not as helpful as I hoped when it came to learning about loans and financial aid.",,,Helping us navigate the whole college instead of just our majors would be helpful,I enjoyed meeting new students during this experience.,
,,,Being outgoing,,Eastway,
,,,N/a,No,No,
,,,,,,
,,,"Nothing, just dumb luck I saw a group of students from my small highschool.",,,
,My Advisor was great and helped me with everything,,,,,
,,,,,,
Students should be required to do a learning module prior to taking the test to ensure students can perform to the best of their ability.,,,,,,
,,,I think near the beginning when we broke off into our different colleges. If there was some sort of activity pertaining to the college that you had to break into small groups (maybe around 3) would help people communicate and make connections easier.,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Finding your way around campus,,
"I would recommend informing students that the assessment may take a significant amount of time depending on their preferred test-taking pace, as my ALEKS Assessment took significantly longer than the estimated time of 90 minutes. ","I very much liked my academic advisor, but I felt a tad bit rushed. This is understandable, considering the sheer size of students that had to be attended to, but nonetheless I felt like I wasn't entirely informed on everything I had questions on. All in all, though, I still felt that my session was very successful. ",,I felt that the opportunity to speak with everyone of my same major would've given me a great opportunity to speak with people that have similar interests to me. ,Campus layout and class locations,"My favorite part was the evening social activities that gave me a chance to, as they said, ""find my niche"" ",
"The experience was pretty easy so I do not, just pay attention to the due dates. ",,,The small groups really helped.,No. I thought everything was very helpful.,I liked the afternoon activities.,"Overall, it was a great experience and really helped me to prepare for this fall."
,,,,,,
,,,,,,
,,,More time to socialize and to not have parents with students,Tour of campus,Going downtown,
,,,,,,
,,"Very obvious all this was, was a chance to promote the school from within and try to make kids want to live in campus for those who aren’t already. Also the whole this is free, and that is free was very obnoxious. I’m paying $10,000 a year to attend this place. Nothing here is free. ",,,,
,"I trusted that they would help put me in classes that were the most necessary for myself, but my advisor did not search for my CCP credits until after my visit, so scheduling classes continues even after I am home from DKS, which I didn't expect. ",,Maybe a few more night time/outside activities to join with other students.,"Spending time actually with groups, walking around to meet new friends, and getting to answer questions for the actual student Flashguides was more useful than listening to so many speeches. ","I like the Flashguide stories, and splitting into our college groups, and then deciding on what to do after that, since we were all starting to feel more comfortable.",
,,,,,,
Maybe provide a review course prior to giving the assessment.,The academic advising was super helpful and my advisor really understood me.,,The guides encouraging us to talk to one another after our parents left really eased my nerves and I met a few people ,Let us roam around campus a little more to help us find our way around on our own,The flash guides stories were my favorite part,
,,,,,,
,,,,,,
,,,,,The short meetings (money matters and the other programs),
no,,,"Not feeling so forced to make friends, more events for people that have interests similar to mine",Club and organization opportunities,"Being able to room with my future roommate, selective attendance at events (freedom)",
,,,,,The people!,
,,,The GlowDance was fairly awkward. Having free time with our majors probably would have led to more connections for me.,Please make the GlowDance less strange ,The FlashGuided were really great. Especially Tara and Jenna. They made me feel included and had really assuring advice about next year.,
,,"During ""Confessions of a Golden Flashguide"" we actually just played a game, a human bingo game.","More visible name tags, when we were sitting at a table the name tags were hidden underneath the top of the table and you couldn't read them.",,,
,i loved it i got everything done the wait was just really long,,we needed more social activites that would bring everyone together and make them talk,everything is great,everything,
Allow calculators for the math tests ,,,,,,
,,,More time to be able to just sit down and talk to others. Personally it’s hard for me to make friends unless someone else talks to me first. ,,,
,,,,,My favorite part was getting to know the other students and flash guides also going to my college,
,,,,,,
,,,I’m not sure. I’m a shy person and I hard time socializing unlike everyone else. It’s probably a me thing.,The summer assignment ,The walking around and seeing the campus ,
,,,,,,
,,,,,,
,,,,,,
,Ask questions ,A lot of information in one day,Activities ,Transition,Activities ,
,,,,"How to get access to financial support like scholarships and grants in college, besides just the FAFSA. ",,
,"My advisor, Erin Lawson, is absolutely amazing and you need to give her a raise. She talked to me about my interests, discussed student organizations, and helped me make decisions regarding placement. She also gave me some advice for things that I could do to start building my resume for applying for medical school. The next day, I decided that I wanted to have a different professor for a class and when I emailed her about it, she moved around a few classes for me to accommodate my wishes the next morning. If I have any issues or concerns in the future I’m going straight to her!",,more small sessions with group activities,,i liked walking around campus the most,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,Finding out my schedule ,
"It was an easy and simple interface, however there was no way of going back to review or change answers from previous questions.",,,,,,
No,,,,,,
,,,,,,
,,,,,,
,"I’ve taken college classes, have lived in Kent my whole life, and am not staying in a dorm so I knew a lot of stuff besides specifics for my major. ",,More time to talk,"Commuting, best places to get supplies",,
,,,,,,
,,,Putting myself out there,Touring our colleges,Meeting new people,
I never thought I would have to use Aleks again and I was very upset to know that I do again.,I discovered more things about my classes and my path to becoming a vet than I thought I would. My advisor really cared about what I had to say and gave me feedback on what to do in those situations.,"I didn’t attend most of these activities for a number of reasons. KSU Glow was very party-esque. It wasn’t what I was expecting at all. I thought it would be something outside involving everybody, not some shitty music and terrible dancing that made the students party until 4 am.",If the students were more willing to open up with each other. Especially when some students are shy. Playing games and questioning them does not help those shy kids situations it only makes them more nervous. Get them talking about their major or classes that they want to take.,,"My favorite part was going to eat in the Eastway Dining Hall. It had a great aesthetic, amazing food, a great selection and it’s a great way to meet people.",You’re gay. Have a wonderful day  
,"Since I already took CCP last year through Kent and had 30 credit hours, I feel I should be allowed to take online courses as I did before and don’t really truly need the DKS class, besides that it was wonderful to speak to Joan",,Forcing me to talk ,N/A,Scheduling classes,Students who have a lot of credits already from Kent shouldn’t have to go through orientation if they’ve attended the previous years 
,,,,,,
no ,my advisor was very friendly and was able to answer all of my questions ,n/a,,,,
nope,Good,,If the other students werent so shy.,No,Academic Advising helped me  choose my major and minor,
,,,More break out sessions/activities in small groups vs. large group lectures on Day 1 before and after lunch,,Registration prep,
,,,,More interaction with students outside of your college and more evening activities ,,
,,,,,,
"There was a lot of information and not enough to do, I would add more like activities such as board games or student events to engage ",,,,,,
,,,I felt like a lot of the things done at DKS focused more on the Flashguides instead of getting to know your peers. One of the people that I met wasn't even involved in DKS and was just met on the downtime between sessions. I think DKS should be a lot more focused on meeting other classmates with similar interests and encouraging that interaction rather than the majority of programs being about the Flashguides or telling us things that we already know.,"I've talked about the interaction between peers, but I especially think that more of it should take place not during the night time. By the end of the day, I just wanted to go to my dorm room and sleep, and I know a lot of people immediately just went to bed instead of trying to interact with anyone else.",Scheduling my classes. It was what I came to do in the first place.,
,,,,,,
,,,Do icebreakers earlier in the day,,,
n/a,,,,,,
,,,More tome to talk to one another ,,Meeting other students ,
,,,,,,
No,,,More activities and ice breakers,,,
,,,,Showing students around campus ,I really enjoyed socializing with other students. It helped me feel less nervous about college. ,
,,,,,,
,,,Anything ,,,
N/A,"My adviser, Heather, was so helpful and kind!",They gave a good explanation about what to expect during advising,N/A,Housing,Scheduling my classes,
,My academic advisor was very knowledgeable but didn’t seem to know a lot about my major in specific.,,,,,
,,,,,,
,,,,,,
,,,,,,
Provide a wider range of mathmatic material other than equation based because many students take classes in high school such as statistics and the questions being asked were not stats related at all.,,,,,,
,,,,,,
,,,,,,
,,,,,,"please! consider showing students their potential ID photo before printing off the IDs, i was deeply worried about that from the moment i found out we'd have to take our photos at DKS and having ended up with a bad photo has really taken a toll on the way i felt about the whole experience, and it definitely could've been avoided with a retake (i wasn't prepared for the photo and the look on my face definitely shows it)."
,,,,,,
,,,,,,
,,,I’m generally a shy person but there were fun activities and maybe have the art students do a get together and do some arts and crafts and create stuff,It would be nice to spend more time bonding with each other (the students) and with our Flashguides,I like the evening activities we had on the 1st day,
,,,Maybe less activities that force connections.,More free time to be able to explore with peers or reach out to needed resources both days,,
,,,,,,
,,,,,,
,,,More one-on-one conversations with incoming freshman (instead of big group activities),,,
,"When going over the classes I need to get through school and achieve my major, it was very rushed and I felt less prepared than when I went in the room. Nothing was really explained and the questions asked weren’t relevant to the conversation",I would like more time going over classes and discussing what classes are like. Seeing mire of campus would also be nice because I don’t feel comfortable with a lot of it.,,Getting to know campus more and going over classes and scheduling longer.,Breaking down into smaller groups with the flash guides.,
,,,Band,,,
,"I didn’t really have a choice in what classes I took, the adviser had everything already laid out for me.",,,,Meeting new people.,
,,,If people from my major would have showed up to the kiva after dinner and participated ,Make it mandatory for students with the same majors to participate in socializing activities,"The food was really good, and I liked how the flash guides were very open",
,,,,,Food,Painfully boring
No it was pretty good overall!!,I loved my academic advisor Laura. She was so nice and helpful and helped me to figure out how my four years would like with enough ccp credits to be sophomore status! ,It was good,Being in the same major and just being social ,No,"I loved all the speeches and I loved learning all the great things about Kent State such as how the fashion merchandising is top 3 in the nation or how only 4,000 people got into the school although 20,000 applied. That was interesting to me and it made me love the school so much more.",I loved it!
,,,,,,
,,,More free time ,NO! ,,"The morning sessions where we sat around and listened to people talk were extremely boring and not helpful at all. I took away nothing from them, it was a big waste of time. I do not feel orientation needs to be 2 days long if you cut out the speakers it could be a lot faster. "
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"My advisor was extremely helpful, was patient with my questions, and helped me feel more prepared for the upcoming semester. ",,,,My favorite part was scheduling my classes so I could feel more prepared for the upcoming fall semester. ,
,,,Knowing people online before attending dks would've helped,more info on the student clubs and sororities/fraternities would've been nice,My favorite part was the downtown tour. The restaurants and shops were very charming,
,,,,Find a spot to really talk about campus job opportunities.,Sitting with my advisor and figuring out my first semester of classes.,
,"It would have been nice to have more of a connection time other than just a dance for people, but all in all it was a very enjoyable experience that made me love KSU even more.",,If there was more of a relaxed event (or more relaxed events) for me to ease into during DKS that didn't feel forced like the icebreaker sessions or that seemed like filler time.,,"I loved having a taste of the dorm experience and staying overnight as well as having to move from place to place, it gave me a good idea of what it would be like during my time at KSU as well as letting me meet someone I connected with.",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,tour by major of where your classes will be ,,
,,,,,,
,she was very sweet and personable!,,,,,
,,,more mingle time,"transportation, sporting events ",,
,,,,,,
No,"I don't have my AP scores yet, but I was told I would still need to take a placement test for French regardless of my score in order to be put into a French class, which I found confusing because I thought the AP score determined my class. Otherwise, my advisor was very helpful.","I'm in the University College, and we were given about 20 minutes to decide which classes from all the Kent Core classes looked interesting to us, as well as fill out a lot of paperwork. I thought this was not nearly enough time, and I had a difficult time filling everything out so fast. Consequently, I needed to take more than the allotted time to complete it, and I still felt rushed. I think there should be more time given to students from the University College, because I was just told about Kent Core classes the session before, so I hadn't even had time to look over which classes seemed interesting to me.",Get-to-know-you activities with other students and splitting the students up from the parents earlier on,Get-to-know-you activities,I liked the Flashguide stories because I got to hear stories from students who are less outgoing and how they overcame their feelings of being overwhelmed at college and made new friends.,
,,,,,,
,She was very friendly and was able to answer all my questions well and helped me try to solve any issues I had with class times and credits,,Splitting students into small groups and playing ice breaker games with those small groups and getting to know each other better,,The evening free time to just hangout with new friends you made.,
no,,,Being put with a roommate.,,Scheduling classes I guess,
,,,,,,
,,,,,,
"No, it was great.","I feel like I was going into my advising appointment blindly because I was never given an academic “road map” for my major. I understand that I am an adult, but I feel it is important for my parent to be present when creating my schedule because they are paying for my classes. ","The session was alright. I just do not understand why the college of arts and sciences group separated from their parents, whereas the rest of the colleges stayed together. I feel like my parent and I where on different pages when we came back from the meeting.",More team building activities between presentations.,"Perhaps current students could have a question panel where we could ask them anything about Kent, from academic to housing questions, and they could respond with their honesty answer.",Getting checked in and my student ID was a breeze! I was also able to make new friends that I am looking forward to seeing in the fall! I felt more comfortable with Kent’s environment. I am also glad the presentations touched on all of the tutoring assistance they provide.,I am excited to attend Kent State in the fall!
Prepare a little beforehand,Nobody knew if cheerleading counted as a college credit. Was in the past but now nobody is sure. Also nobody knew when practice was for cheerleading because athletics has not made a decision on it. Made it harder for me to schedule classes.,,,No,Food,Nothin
,"I feel like it was somewhat rushed, I would have preferred to take more time",,,,,
No,,Everything was amazing! Can’t wait to start!,"Being open to talking and meeting new people, and having a great time.",Everything was very through,My favorite part was dancing with everyone in the dance party on the first floor! It was amazing and I met so many new people!,
,,,,,I enjoyed the afternoon/evening activities where I got to talk and meet more people with similar interests.,It was a lot of fun but all the speaking in the morning of day one was a lot. I think breaking those up a little more would be nice.
,,,,,,
,,,Less of a restricted schedule and more time to experience what college will be like.,spread out event throughout campus and allow people to find their own way ,My academic advisor was amazing and the process made me feel better,
,,,,,,
,None.,,Doing a roommate survey and rooming with someone like me .,,Everything ,
Great job from the “Blue Storm@ Flashguides! Very helpful and positive!!,,,,,,
,,,,,,
,,,"Let me do it on my own, dont force it... please.",Books and housing status.,Going downtown.,
,,,,,,N/A
,I was really worried about scheduling my classes but my advisor was extremely helpful and made it so simple that I regretted spending so much time stressing about it!!!,,"As much as I didn’t want to at first, I really enjoyed splitting into groups, especially with people that had the same major as me. I met a lot of great people that I’m excited to see again in the fall. ",I would’ve liked to have had more of a tour of the campus because I’m not great with directions and knowing how to get places on my own. ,My favorite part of DKS was meeting new people. I come from a really small town where I graduated with 45 people and had the same friends as I did in kindergarten and I liked being able to start forming new friendships. ,
,,,,Getting around campus easily ,Resource Fair,
,,,knowing somebody before I attended DKS,,I enjoyed the evening activities because those were where I was able to interact with more people.,
,,,,,,
,,,Smaller group activities that had us interacting with each other (ex. Game) ,How to get involved (because there are a lot of options),When we went to downtown Kent ,
,Advisor wasn’t much help with knowing what each course was and what I might learn in them,,I don’t know,Homework load/ study load/ balance work and school/ COASE DECRIPTIONS,The dining halls were pretty nice,The corse descriptions were vague and unhelpful in making a decision. Also give more time (say 1or 2weeks) to allow people to chose from some of the kent core classes. Send the information home in the mail and give them more time than just one night to decide on classes to take. 
,They were very helpful and seemed like they cared about me.,N/A,Finding what makes us similar.,A longer tour in Downtown Kent and more on navigating through the campus.,The party after touring downtown because I got to connect with the other students more.,N/A
,,,,,,
,,,Being put into groups of students to hang out and get to know each other.,Navigating the campus,Registering for my classes and talking to my advisor,
,Maybe ask some more questions about what students are planning on doing during the school year.,,"If we had a time away from our parents that allowed us to just talk to each other that had nothing to do with academic life, but have it be a little guide by current students. Also have not so large groups, or put people who have similar interests together.",Having time where people of similar interests can get together and talk.,The tour downtown because it wasn't just information overload and I could kinda of enjoy see things and not be afraid I missed anything.,
,,,more time to socialize and meet with other students on our own time,,,
,,,,,,
I would like to be able to study more in the courses to reassess even after I logout as I have had problems trying to study after taking the unproctored assessment and then having to study.,Honestly everything was talked about in depth  and they were all very welcoming ,Everything was pretty much covered in a fun manner,we all played Smash bros,You should add a club showcase for the various clubs in order to encourage more connects with students,I loved the evening activities playing with people that were really cool to hang with was amazing,
,,,"If students could have been able to be grouped together or interacted with people of similar interests, whether that be information provided by the student before attending DKS, or whatever worked",More student interaction would be nice,Meeting with fellow students and bonding with them over Mario Kart and Super Smash Bros.,"The scheduling of DKS was an absolute mess. Before the first presentation, if a student was late, they wouldn’t be able to explore the multiple student organizations in the morning. Additionally, being moved from other buildings to the Student center for an hour, and then moving to Eastway Center for another hour, only to immediately return to the student center is exhausting and pointless. On day two, the schedule was even more confusing. As I needed to visit the One Stop to discuss financial aid, why was the reserved time for DKS students at the same time that students were supposed to be in advising meetings and meeting with the Flashguides? There was no coordination between different branches of KSU evident in that sense. There was also very little time for students and families to do other things that they needed to do, i.e. discuss financial aid, purchase common reading books and so forth. To do what I needed to accomplish, I hope that I did not miss crucial information while I was doing other necessary things. If KSU wants new students to attend Orientation for a day and a half, there is no reason why a few hours of free time couldn’t be included in the day"
,It was great except my advisor didn’t seem to understand the Honors Leadership Academy and suggested taking me out to better fit my classes which I felt slightly insulting because of how hard I worked to be in the program. Other than that aspect (only due to the seeming lack of knowledge) it was great!,,,Financial Aid / Loan options ,,
,,,,,,
,,,Nothing. I saw DKS as an informative event rather than a social event.,,,
,,,,,,
,,,,,I didn't have a favorite. I enjoyed everything.,
,,,If there was an event that grouped students with similar interests to chat and connect.,,,
,,,,,,
,,,The group me really brought a lot of us together as well as the games on the tenth floor and the video games.  How about some indoor kareeoke? (Sorry I can't spell.),Jobs! On campus and off! Also talking about federal work study!,,
,,,If I had made an effort or had a more sociable roommate.,Navigating Campus. It is still somewhat confusing.,Scheduling. It was exciting and a smooth process.,
,A meeting with my honors advisor would have been beneficial.,,Perhaps grouping individuals by personal interests.,College life and atmosphere ,The evening group activities,"I believe it was a well constructed program, however making real connections amongst peers was somewhat difficult.  "
,,,,,,
,,,,"Give a full campus tour, including residence halls, and more information about dorms.",My favorite part was meeting new friends and having the evening to do whatever we wanted.,
,,,,,"Flashguide Stories, when we divided into groups based upon major and got to know people who share similar interests",
,,,,,,
,,,More activities that forced you to talk about something/ icebreakers ,,Flashguide stories,"Do not think it is necessary to stay the night. Melanie’s speech was absolutely, terribly long. The day and half spent there, could have been shortened into 3 hours. Instead it was very drawn out to be more than it needed to be. Thought it was mainly to schedule your classes but instead, we did things that I could’ve looked on the internet for or didn’t need at all."
,,,More small groups would have helped.,What laptop I need based on my major.,When we all split into small groups with a flash guide and played games.,
,,,,,"Exploring Downtown Kent, visiting the college of our specific major, staying in actual residence halls, meeting with an advisor, and receiving my Flash Card.","There was a boy in my specific college that followed me around the whole time of DKS and made it hard for me to branch out and connect with others. If I did not have this new classmate clinging to me the whole time, I would have had a much better experience exploring and making friends like I was looking forward to. I would have felt uncomfortable to tell him to give me space since I will most likely be seeing him frequently."
,,,,Add a tour to help students easier be able to navigate campus themselves ,Everyone was very friendly with their attitudes so it made you feel right at home and not at all intimidated ,
,,,,,Meeting a great group of friends!!,
,,,,,Meeting with my advisor to schedule my classes.,
Na,They were very nice and helpful.,Na,All the meetings helped ,Choosing classes ,The ability for us to explore and meet new people.,Na
n/a,,,,,,
,,,,,The tour of downtown Kent,
Not really,,,,,Learning new things about what will be experienced as well as meeting new people,
,,,Ice breakers,,,
,,,,,,
,,,,,,
,,,,,Having time to meet with other students in my college,
,My advisor was very personable. She was indeed the most help I’ve gotten compared to the counselors at my high school. ,,,,,
No,,The first few hours of DKS were a lot of speeches. It was a lot of talking and not a ton of information. ,,Clubs & mental health services,The FlashGuides. They were so peppy and great. They went above and beyond to make us comfortable and excited. ,
,,,,,,
,,,,,Flash guide stories ,
,,,More activities based on the college were attending,Mapping out the campus,"Scheduling classes, meeting new people",I loved meeting everyone and feel like I have made strong connections with a few people.
,,,Having more activities where you interacted with others like the glo party. ,Getting to know campus better,"The glo party because I was able to meet new people and connect with them also, the food. ",
N/A,All my questions were answered and I had a better understanding about my academics,N/A,,,,
,,,,,,
,,,,No,The activities with flash guides ,
,,,,,,
No,,,More opportunities to just hang out and talk with other students like at the end of the day.,Campus tour and individual organization and club information ,meeting and hanging out with future peers! ,
,"Very friendly, made me feel comfortable and welcome",,Putting myself out there and not being afraid to meet new people,Campus tour- weather didn’t cooperate!,How friendly the flash guides were- they really made me excited to come to school here in such a fun and welcoming environment,I thought it was great and a wonderful way to welcome new students!
,,,,,,
N/A,Incredible! She was very helpful when it came to scheduling for my classes. ,N/A,Split off into colleges more often to connect more with the people who were going to be taking the same classes as you.,Navigating around campus,Getting my schedule for next year! It was so exciting to see where I'm going to be at next year and all the classes that I will be taking. ,
,,,,,,
,,,,,,
N/A,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,The Schools App,Spend less time trying to sell the school to the students and their parents and build their confidence in themselves and their choices,,
,"Super nice, very helpful ",,,,,
,,,,,,
,all of my questions were answered and i learned how to schedule my classes,,,exploring/navigating campus,the group chat was a lot of fun and i wouldn’t have met my friends if it weren’t for that.,
,,,,,,
,,,Having more freetime to hang out with the other students.,,,"The only issue I had was that it was not made clear that I still had to take my math placement test because when I checked my flashline account, it had said I was exempt from taking it because of my SAT scores. So because of this, I did not take it, but then at check-in they said I needed to complete it and it was very confusing, but we got it all figured out!"
,,,,,The nightly events where we were able to find our clicks and make new friends quickly  ,
,,,,,,
,,,Smaller Group  Activities ,Actual Dorm Tours ,GlowParty,
,,,"If I hadn’t been around my parents all day. If college students are supposed to be independent, we need to be separated from our families for orientation. ",,,
,,,,,,
,,,,,,
,Maria Robertson is an extremely genuine person. I can tell she really cares about her students at Kent. She made sure I felt comfortable as she passionately answered every question I had. Mrs. Robertson made my general interests a priority. She's definitely a keeper and she made me even more excited starting as an art student at Kent.,,"Nothing more, it was perfect ","Nope, you covered everything perfectly ","Scheduling my classes with my Academic Advisor. Again, I really like Maria Robertson. She made me feel even more trust with the university. She was very easy to talk to and she is a lovely person. She just made me fell comfortable and excited about starting in the fall. ",
,,,,meeting people ,,
,,,,,,
No,,,If we split up in our colleges more and we were able to be separated from our parents. I didn’t make friends until after dinner when our parents left. I think it would’ve been more fun if all of the kids were together. ,I feel like we already heard a lot of the same stuff we heard when we took tours and admitted students day so it was boring. My favorite thing was when we went to college of the arts and heard about our programs and watched videos and did activities. ,Just meeting friends when we went back to the hall and stayed the night. ,We should have gotten cups for water in the rooms at night. 
The instructions were very clear and I liked that we got a second chance to retake it.,Very helpful and explained everything in a way I understood. Also emailed me back quickly when I asked a question.:),Flashguides were very nice and welcoming. Very personable and answered questions that I had:),,,"I liked the Glow party because you got to hang out with the flashguides, meet and talk to new people and have fun",
,,,Finding more people with the same major as me,,,
,,,,,,
,,,,,Exploring downtown Kent ,
,,,,,,I feel orientation should be less focused on selling the school and more focused on making students comfortable 
,,,,,,
Take it plenty of time before DKS,,,,,,
,they expected me to have a lot of stuff already figured out so it took me longer to finish steps because i did not,i don’t remember what that was,games,,,
No,,,,,,
they were very hard i felt unprepared,,,,,,
NA,,,,,,
,,,,,,
,,,"More hands on, team building activities.",,I enjoyed the split into the colleges and meet people that I will be in classes with,
,My counselor was kind and helpful. ,,,Commuter students don’t really get as much information as students stay in on campus. The presentation for commuters didn’t have a lot of new information for me. ,"My favorite part was staying up with a group of new people I met. Playing games, sitting and talking, walking around, then meeting to eat breakfast in the morning. ",
,,,,Stuff about getting a job on campus ,The dorm room experience ,
,,,,"Maybe getting to know your way around campus more, more activities to meet students instead of all the presentations throughout the first day. ",Meeting new people ,
,,,,,,
,,,,,,
,,,More time to get to know others ,,The dorm experience getting to know what it would be like,
,,,More group work and activities together because i didn't connect with amyone during the program I did it on my own after the day was over.,,Jonny Rocco and the Doit lecture. He was really funmy and made it easy to understand,
,"my experience with my advisor was excellent, and she was very helpful. ",it wasn’t very helpful ,doing activities ,no,hearing the flahguide stories ,
,,,,,,
,,,If I talked to more people and if more people actually wanted to have a conversation with me.,How to buy books and what books to buy. ,"Staying in the dorm, walking around campus, and eating at Eastway.",
,,,,,,Everybody was positive and really cool
,,,more opportunities to socialize,"more time for students to socialize, more free time!",my advising appt went really well! my graduate school advisor explained everything to me really well and helped me make decisions regarding my classes.,
,,,,,Getting my schedule ,
,,,,,Karaoke ,
,,,,Helping students to navigate campus,Getting to talk to other students who shared my major,
,It felt a little rushed and I wish my advisor had explained the core classes I was signed up for and if they knocked out any Kent votes for me.,,Being split into groups based on colleges earlier so I had more time to make better connections.,,,
,,,,,,
,,,"Meeting people the night before (or having a roommate, I didn't get one).",,"The dance party and games at the end of day one, I really got to connect with other students. ",
Make the calculator more complex ,,,,,I loved making new friends and going to see my college (for my major),
,,,,,"The social experiences, it was fun to talk to the other students.",
,,,,,,
,,,,,Meeting new people,
,,,,,,
,,,,,the glow,
,,,,,,
N/A,N/A,N/A,I just need to be more confident in myself and be more adventurous. ,I think that discussing how to get text books and all the options and details behind getting them should be addressed more clearly. ,I overall felt satisfied in learning more about everyday campus life and how things work in general. ,N/A
,"The first advisor didn’t help me much and didn’t know how to schedule rotc. After talking to the rotc staff, Kris really helped me figure everything out. He also had a discussion with me about ba or bs and Aurora did not",,The social event and Flashguide stories. The GroupMe helped a lot too,,"I absolutely loved every part! My roommate was awesome, the social hour was so much fun, Flashguide stories and confessions was helpful in opening up to eachother and meeting friends.","I’m so extremely excited to move in. I can really see the effort and preparation everyone put into DKS. Amazing job, I didn’t even wanna leave! "
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,Advising and scheduling classes.,
,,,,,,
,,,,,,
