OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,spendMoreTimeDestinationKentState,favoritePartDestinationKentState,expectedAsAKentStateStudent,anyAdditionalComments
"Personally, I had no idea what to expect prior to taking the test, I wish there was a list of topic available for me to know what would be on it. I was expecting the test to be mainly calc, when in reality most of it was algebra that I haven't learned since 9th grade. ",,The afternoon sessions back to back were too much and extremely boring. ,,Walking around the downtown area and just seeing what was there,To discover myself and what I want to do while having a good experience and moving forward towards my goal and career. ,
,,,,meeting new people,To be successful,
I'm actully pretty good at math but I went to a vocational school for the last two years where core classes weren't that important so the teachers were kind of bad at teaching so i dont remember most of the math i should know ,,the one lady talked about trash for a really long time an im not really sure why. who ever did the audio recording for the fight song should be fired it sounds bad.,,,be a freak,
"Everything went smoothly for me, personally. ",Advising was a very smooth and easy process. Advisors were very courteous and helpful. ,,,Socializing with the Flashguides and learning about their experiences. ,To try my hardest to better educate myself and become a more enlightened person. ,
,,,,,To be involved and do well in my classes,
,,,,classes,pass,
,,,,,,
I thought it was well done,,,,I liked meeting new people. It was comforting becoming friends who are in the same situation as I am in and that I know people when I enter college in the fall.   ,"To go above what I think i can do, give myself the credit i deserve, join groups & clubs, ask for help when needed ",
,,,,,,
"It wasn't particularly good or bad, there were only 30 questions. The time limit was more than enough to complete the test.  ",,,The book stores available on and off (near) campus. ,When we split up by majors. It made the room a little bit less nerve-racking.  ,Finding out who I am as a person and who I want to become. Acknowledging my strengths and weaknesses but using them to my advantage. Following the basic rules of student conduct and respecting differences that I may encounter. Connecting with other people on my journey through college. ,I'm excited to begin a new adventure at Kent State. 
,,,,The FlashGuides,To succeed,
,,,,,,
,,,,,I believe it is expected that I succeed in what I do at Kent State and also enjoy what I do. Also to get involved in different activities. ,
,,,"In my opinion the ""Ask the Flashguide"" section was a little short. After their presentations, those in the first group of advising appointments had to leavr, so there wasn't really any time to ask them questions. ",Breaking into groups with others in our college ,find your calling and go with it  get involved  ,
,,,,,Effort for academic success and a willingness to learn,
make it more user friendlu,everything was good ,eveything was good ,campus tour ,campus tour ,effort ,
I feel like there were questions that I knew how to do but I forgot little rules. I don't think we should be penalized for that. ,,n/a,no,flashguides ,to set goals and follow through. to meet new people and have academic success. finding your purpose. ,"I did not like the ""your first class section"" "
,,,,,I believe I am expected to do well in my classes and get involved in student activities. ,
,,,,,To succeed in my classes.,
,,,,,,
,,,,Registering for classes really made the entire experience seem real. ,To be the best student I can possibly be.,
,,,,,To be successful in my studies and research,
"Finish it before going, so you don't have to miss out on DKS activities.",,,"More on balancing the social, ""fun"" aspects of college as well as buckling down into the academic side of college.","Visiting downtown Kent, meeting new people, as well as the dance party.","I am expected to seize all of the opportunities that will come my way, as well as perform to the best of my ability in whatever I do. ",
,,,,,,
It was very hard and the math was complicated with all the steps prior to the test it's self. ,I liked my advisor I had but I am not on her roster so I asked her if I could move to her. My advisor was not there the day I went because she got in a car acsident and I would like to change to who I worked with during  scheduling classes. ,,Spending more time on where places are. ,Talking with the flash guilds ,Studding abroad ,
,,,,,,
,,,,,To do well and succeed,
,,"Flashguides were absolutely wonderful, especially Jordan, Bella, and Erik! Mason was very funny during his presentation as well!",More campus tours! ,Meeting the flashguides!,To achieve academic success and my full potential ,
,,,,,,
"Allow for easier access for retest for out of state students. It is hard to drive down just for a few hours and drive back home. Students, like myself, would like to get it done before welcome weekend but cannot get to a campus for retesting before then. ",,,Showing students around the campus. Like where buildings are,Meeting the flashguides and hearing their stories,Find your purpose so you can help the future,Send out a basic schedule for the days before hand so students/parents know what to expect 
,Did a great job.,,,,hard work,
,It was nice to talk face-to-face with someone who had my best interests at heart. ,,,Everything. The Flashguides were amazing,To try my hardest to excel,
,,,,,,
"No, it's seams fine as it is. Maybe upgrade the testing system sometime soon","Advisor was very kind, helpful and patient. ",,"Getting around campus, talking with people in our college on how we settled on Kent state and our specific college",Advising. My advisor was super nice and while waiting I had a great chat with some of the guys in architecture. ,To get involved and be successful ,
,,,,,To get involved in activities on campus. Also staying on top of all school work at all times. ,
,,,,,To do well in my classes and be a positive impact on the Kent State campus and in the world.,
I did not need to take the placement assessment online because they used my ACT scores in place of that.,Very helpful. Knew what would be best for me because of my specific major.,,Help on finding your way around campus.,"Meeting my roommate for the first time before move inc day, and seeing/staying on a possible future dorm room for me.",My best effort,
No,,,No,"Flash guide stories, they were so personal which made me be able to connect with them on a different level.","To be successful, to seek for help if needed, to use your resources, and to have Pride ! ",
It's fine as it is. ,He did a good job and helped build a good schedule. ,,I think you covered your bases. ,Planning my schedule and the evening activities. ,Get good grades and be active on campus. ,
,,,,,to do good,
,,,,,,
,,,,,Go to class.,
No.,"Don't force us to complete surveys asking what we would ask next time, considering we just visited.",,Finding and getting to classes.,Scheduling my classes. It was one-on-one and it was easy to find what classes I needed with the advisor's help. ,Get involved with as much as possible and meet many new people. ,
,,,,,To get good grades and find out what I want to do after college. ,
,,,,,to be successful ,
Notify us early about the program to improve our scores.,,,,,,
,Overall it was a good experience. I would've liked the opportunity to speak to my honors college advisor though. ,,,I really enjoyed the tour of downtown Kent. It was nice to be able to see the places I would be able to go while I live on campus. The guides were also very upbeat and gave good descriptions of the places in town.,I'm expected to do my best and encouraged to participate in other activities. ,
,,,Parking and buses ,Seeing the campus and learning about clubs and classes ,Attend class and get involved ,
,,,,,,
,,,,"The flashguides definitely made the experience great. They were sociable, relatable, and full of information and stories to help us succeed in college. They were fun, creative, and were always there to share information or talk to fellow students. Them also encouraging us to follow them on social media for if we ever have questions during the semester was also very helpful. All the flashguides were wonderful and were the highlight of my DKS experience.  ",To get the tools I need to succeed in my career path while making friends and making the most of of my college experience.,
,,,We should tour the campus a little bit to be more familiar with it because it is big and a little confusing. ,The flashguide stories were very fun and helped to get a feel for other students experiences at Kent ,"To get involved with groups and activities on campus, to go to class, and be a successful student    ",
,,,,My favorite part about Destination Kent State was basically the evening activities provided to the students.,I'm expected to graduate for these 4 years I'm at Kent State.,
I'm not sure if these really helps or not but I know that I had a lot of problems trying to get the links to work for the assessments and I know that a lot of other people did too. ,The advising appointment was very useful and did help a lot and it showed me that a lot of people must have rushed their assessments like I did and that was comforting. The only negative to my appointment was the lack of sympathy and understanding that I did in fact rush my assessments and it isn't an accurate showcase of my intelligence so I will be retaking the ones I am allowed.,,,The comfort and honesty that the staff and the flash guides provided to us. It made the tour more realistic and helped me understand just how much I'm going to be adjusting for college life.,To do my best and to represent my school as best as I can while also enjoying my time here.,
Yes for the alexs math portion i remember i had to go through a long process with a kent admissions man of emailing back and forth and eventual doing a step by step instruction over the phone because the links to the assement were broken,"I adored my Academic Advising experience. To start my Adviser was an exceptionally delightful woman named Erin Liggett. She was extremely helpful energetic, pleasant, and informative. She provided me with information on my classes individually, and was tremendously patient and helpful with my upsurd amount of queries. She helped build a schedual that i simply could not be happy with and honestly was the best part of my DKS visit. Also I truly enjoyed the schedualer i met before her. I cannot seem to recall her name but she was equally delightful. I recall she said her parents were born in India but were of persian decent. I believe anyways i did speak to so many people that it was hard to keep perfect track. I do know she is a junior and sat on the right hand side of her room as you would see from the door and was apart of the Young Life christian community and taught me a new way to draw a star which i still contest. She was extremely helpful and an absolute delight to talk with which does make me ashamed to say I forgot her name. (""Sighs dramatically"" woe to my ever forgetful brain)",I provided a lot of relavent information but was not concise at all. Most of the information took atleast 30min to descibe for only about 5 to 10 min of actual content.,The obtaining of books,Honestly it was my academic advising. That experience with Ms.Liggett made it all seem so real so exciting. She was helpful in a way that i have had very few people be in my road of academics. She may have only met me once and only for a short amount of time but I am extremely grateful. It truly made me excited for the upcoming semester. Give her my highest regards as for the first time in a VERY long time I believe that someone has sincerely earned them.  ,To give my utmost in the things I i endeavor to do from the beginning to the very end. To strive to not be just a student but become an exceptional person to become someone who Kent can brag about as a Distinguished Alumni,"Thank you very much everyone you have provided me with a truly wondrous experience. Shoutout to miss Bridget, Olivia, and especially miss Paige of our flashguilds you are all three superb individuals and I wish you the utmost. Liv hav fun with flashguilding i hope people remember to stay fully clothed and you dont accidently sit on someone even though it did make you a friend. To Bridgett I hope you get to see Hamilton in New York its truly a excellent experience. To Paige I wish you the best of times wishes and hope for you and your endeavors especially in your new position with the council tech thing (apologies I forgot the specific title please to not take that as a diminishment i sounds positively phenominoal. and your prospects on become president. P.s sorry about all the spelling and grammatical errors."
,,,,,Make the university proud,
,,,,,,
,,,No,My favorite part was the socializing events at the end of the first day.,I believe i am expected to receive good grades and behave.,
,I feel that the Acdemic Advising was great.,N/A,Travel around campus more,Meeting new people and the flash guides ,To go to class,N/A
,I feel that the advising sessions were great.,,,,,
,,,,,,
,,,,"I'd have to say anything that involved the Flashguides. They were on top of their game and obviously really, REALLY into what they were doing.","Acceptance of diversity (if not completely embracing it), academic success, and learning more about yourself.",
It froze on me a few times,,N/a,Yes I felt I didn't have the best oppurnity to truly meet other students.,The free food,The absolute best,
No,,,"Show people the extracurricular clubs page, or how to get to it on the Kent site.",I enjoyed the social event at night. It was fun to just do something familiar with new people.,"Pass my classes, make new friends, and have fun doing it.",
"When I completed my German placement exam, the page at the end would not load and it provided a frustrating experience for me as I did not know if it went through or not or if I would have to do it again. ",I love her already. Shoutout to Heather!,,,,"Academic success and involvement in clubs, organizations, and the greater Kent community. ",
,,,no,I loved getting to know other people at DKS through the evening activities,"I think I am expected to perform at the highest degree, and to have pride in what I do.",
The deadline said may and a different one said 72 hours prior to DKS,,,,,,
,The Academic Advisors were willing to take as much time as needed and answer any questions you had. ,,,"Being able to learn more about all the safety Kent has to offer. Also, being able to learn what is expected.","To always be in class, and to do what needs to be done.",
,,,,,"To succeed academically and socially, to keep it simple.",
,,,,seeing the campus ,to do well and graduate,
,,,,I absolutely loved how involved the flash guides were were in helping make connections with people and have fun while learning all we needed to learn.   ,I believe that working toward academic success while finding my purpose in the world is what is expected of me. ,
,My academic advisor was amazing. She helped me pick my classes step by step and also shared very useful information about college in general.,,,My favorite part was the opportunity to have engaging discussions with current Kent state students. I feel like the discussions were very helpful and effective.,I feel that I am expected to do well in my classes as well as be active in the community.,I loved every second of Destination Kent State.
not really,,,not really,everything,"get involved, and go to class",
,,,,I enjoyed going downtown at night.,Go to class.,
,,,,,Academic excellence and the confidence to excel. ,
The timer broke on my test so I didn't know how long I had left and that was really stressful. ,,,,The flash guides were cool ,To achieve my goals ,#NAME?
,,"The entire first day had many back to back lecture structured activities that made it difficult to stay alert and be concentrated on the presentations. By having more breaks in between, it would have been very beneficial so I could properly understand and learn more about Kent State.",,May favorite part of DKS would be any of the lectures given by the flashguides. Each of these lectures were filled with seriousness but also excitement. It was easy to enjoy yourself while staying concentrated on what the presentation is about.  ,"As a Kent state student, I should not only make goals but make realistic goals that I can fulfill and accomplish. Also, I should take advantage of all the people and other resources around me to better myself.",By doing less activities with family members and guests it will allow students to have an easier time to get to know other students. I had both of my parents with me and every time I finally met someone I thought I could get along with my parents would want to hang out with me since our acitivites were the same. This made it difficult to make many friends and by the end of DKS I only really got to know my roomate.
,,,,,,
,,,,,"respect, good grades, make ksu proud",
,,,,Keys to success in college and flashguide stories and Q and As with flashguide. It was nice getting to hear the truth from a current student's perspective ,To be proud of who you are and your school and find what makes you happy and who you are,
,,,,I enjoyed the one-on-one meeting with my advisor to schedule classes. That was my first real chance to get some questions answered about my options in a college education. It was nice having an advisor that was actually in my college.,I should take advantage of the opportunities I will be given while enjoying myself.,
,,,,,Success and personal goals,
,,,,,,
,,,,The whole experience of being there and understanding that there is a place for me to be myself.,I believe that I'm be my own person and not to expect others to hold my hand in life.,
Just more awareness some friends didn't know about them ,,,Just a broader tour,The residence game room and how everyone mingled,Be involved and a productive mekber of th college ,
,,,,,,
,,,,Meeting new people and meeting the flashguides ,To be one with everyone else and uphold the on going expectations already being held ,
My Spanish exam kept kicking me out of the test,It was so nice,it was fun,nope,nope,"To be mature, focused and ready to learn.",Had fun 
,,,,,To be involved,
,,,,,Meet new people and go to class,
,,,,,,
"I found how get to the website, but I had to find the right log in information. The log in info did not match my Kent state log in. That was a bit annoying when website kept rejecting me before I figured out the right log in info.",,,,My favorite experience is a bit cliche... I really enjoyed dancing and getting to know my fellow incoming freshmen and Flash Guides. I made so many new friends that I believe I will have for a long time. ,"To do very well, get involved, find your purpose, etc.",DKS was the best! My only negative comment is that most sessions went longer than the scheduled time (I get it is hard to run exactly by the clock). Most people had to use the restroom including myself. I did not want to get up during a session because every other piece of information was deemed as IMPORTANT. You can miss out while you are in the bathroom.
No,,,No,I like hearing the flashguide stories about their experience on Kent State because I can learn from their stories.,To ask for help when I need it and to stay out of trouble.,The flashguide we're very welcoming and nice. They were easy to connect with because they were all genuine. 
,,,,Scheduleing classes,Pass your classes and stay on track and be involved in outside activities ,
,They were not very optimistic about what I have planned for the next four years. Things I know I am capable of doing were shot down. ,,Include more navigation of the campus. Knowing where everything is is important and a tour showing where classes and residence halls are would be very helpful. ,The Flashguide Stories Happy,Graduate on time while getting the best education i possibly can and to get involved and create connections. ,
Hard to figure out where the foreign language assessment was on the site,N/a,N/a,N/a,Playing MarioKart with Bella was really fun,"Get involved, go to class, get good grades",N/a
,,,,The flash guides were so welcoming and sweet. They really made the entire DKS an awesome program.,"Pride in myself and in my school, high academic standing and getting involved.",
,"I waited an hour for my advising appointment, then another hour actually with the advisor, and about another 45 minutes scheduling my classes. It was way too long and complicated",,,,Hard work,
,,,,,,
,,,,,,
,,,,,"Come to class, have pride in the school, feel at home, get involved in activities, and make lasting connections with peers. ",
,,,,Meeting all the new people and hearing current students stories.,"To get involved, show pride, and go to class.",
"No, experience was good, and the system is effective as is.",,N/A,"No, good as is.",,To use the resources I have at my disposal,
,,,,,Success,
,The academic advisor I met with was extremely helpful with answering my questions and giving me advice on finishing college and my degree. ,,Touring campus more.,My favorite part of DKS was the video about the Arts and KSU. I wish we explored more art at KSU.,"As a Kent State student, it is expected that I involve myself into activities and events around campus. Not only will that help me reach academic success, but it will help me reach a positive state of mine and the feeling of home.",The staff was excellent. 
,,,It might be helpful to have a session where students can inquire in detail about electives and core classes and how to incorporate and balance all of them with their majors/minors throughout the four years. ,"I enjoyed being able to meet and interact with people that I will spend the next four years with. Many of us had met through the KSU school app and have kept steady communication thus far, and being able to put names to faces and already have a bond with them made DKS and choosing Kent that much more special. ","It is expected of the students to represent the core values of the school (in culture, beliefs, diversity, etc) while staying true to who they are as individuals throughout their continued education and beyond. A KSU student is expected to perform to the best of his/her abilities both in and out of the classroom and is responsible for seeking aid when necessary. ",
Make it more obvious to find.,It was quick and easy ,,,,,
,,,,Meeting new friends ,"Doing well, staying on top of my work, and being an all around good student. ",
,They are very helpful,,Where things are at ,Just being around and interacting with classmates ,"Be yourself, do well in school and have fun ",
,,,,"The free time we had at the end of the 1st day, or the flashguide stories",Go to class,
,,,,,,
,,,,Experiencing Downtown Kent and hearing Flashguides talk about their memories and advice from their own time at KSU.,To always do my best and better those around me and to stay involved as much as I can to take advantage of all the opportunities Kent State has to offer,
,,,,,,
"Take it seriously! Otherwise, you could totally mess up your graduation time and ultimately, you end up wasting time and money. ",,,,"The flashguides made every moment enjoyable. Whether it was listening to speeches or eating or evening activities, they were so much fun. ",To be ourselves and enjoy our time at KSU,
,,,"How to prepare for the first week of classes. I feel socially prepared, but not academically. ",I liked the mock lecture because it was an example of of what to expect in a real class. ,"The way DKS is presented, it appears that students are there to get involved and make friends. Perhaps a little more emphasis should be placed on succeeding in class. The ways to get help for class, like tutoring and SI were talked about, but I would've liked to hear a bit more about how grades matter. ",
,Very helpful.,,,,To reach my goals.,
,,,books   financial aid  loans,meeting new friends from all over ,success,
Study Study Study!!!! I graduated in December and took the placement test in July. I forgot a lot of information betweeen then so studying helped me.,Be prepared ,,The dorm situation should be handled before we come to DKS.,Choosing my classes!,So your best and have fun!,
Take the test serious or you'll have to retake it.  ,,,Navigating through the campus and finding resources. ,My favorite part of the DKS experience was meeting new friends! I reached out to other students through the Schools App who were going to DKS the same days as me and started a group message. That really helped my new friends and I because we felt comfortable knowing that we knew people at DKS. I would recommend future Kent students to do this because it will ease your nervousness and those friends might become your best friends for the next four years and forever.  ,"I believe that I am expected to use my resources like tutoring because college isn't free. Retaking the class is just going to cost money, so I'm excepted to take class seriously. ","I felt like the first day of DKS was too packed and full of information. For students, that can be very boring."
None ,"I was very satisfied with how compassionate and helpful my academic advisor was, made me feel much better about college life ",,No,The advising appointment ,GO TO CLASS,None 
,,,Navigating campus,Flashguides,"To be the best I can be, academically and personally. ",Don't put long programs back to back right after lunch. I began to doze off and I felt bad for not paying as good attention. 
,,,,,,
,,,,,,
Allow an option to take a paper version. Some students can't focus that well looking at a screen ,"I spoke with an advisor who was I guess training, and although I do understand everyone needs to learn, I would of liked to talk to someone who was a bit more knowledge on my questions ",,How to use flashline to find the books you need,Resource fair ,Stay involved and on track,
It would be very helpful to involve more scheduling time during DKS. I think a lot of students needed more time learning how college classes work and what kind of classes are needed to earn the expected amount of credits. ,Having everything explained in further detail would have been nice. It would have been helpful hearing more information on what kind of classes we have to take our first year in order to pass.,Talking more about how someone can meet new people that are interested in similar things you are.,"Maybe more details in everyone's specific majors. It would have been nice to hear more about what the dance department will be doing this coming semester, or even what it will be like during the next four years.","My favorite part was meeting new people. I met two girls who shared similar interests as me, and we went downtown to see all the different activities and food vendors Kent offers.","To have strong grades, stay out of trouble, experience the college life, get involved, meet new people, and prioritize what is important. ",
I know with mine they didn't connect it never looked crossed off my checklist so that caused a little confusion even though it was done,Carl is great I feel like I'm in great hands and super excited that I have the support I need ,The only thing I was concerned about was the weekend of 27th I had no clue about it and was surprised and still confused on times and such ,Definitely the buildings and locations I know where all the main stuff is but actually finding classes I'm nervous about ,Definitely the advising and scheduling everything built up to actually getting my schedule ,Just to be myself and enjoy my time as a student and be as successful as I can ,
,,,,Meeting new friends and the Flashguides.,To do the best that I can.,
,,,,,to be the best I can be and work hard to succeed and ask for help as needed,
,,,,,,
,,,,"The best part about DKS was having some down time at the end of the night to hangout with new freshman and current flashguides. I felt it was a good way to make new friends and experience a ""college night"". My favorite flash guides that gave alot of advice and insight to me personally that helped make DKS amazing were, Pooyan, Paige, Cassidy, and Robby. I thank them tremendously for the advice they gave.",To go out and do great things.,
Make the foreign language section easier to find (add a link in the checklist maybe?),,,,,,
,,,,My favorite part about DKS was walking downtown and exploring the campus. ,"As a Kent State student I think I am expected to try hard, be responsible, be respectful, find my purpose, make connections, try new things, get involved, and make the next four years as good as I can. ",
,,,,,,
,,,,,,
,,Some speakers in the health and human services were not that good at delivering their message.,,I really enjoyed the resource fair and the evening activities back at Eastway. The resource fair was nice because I got to meet all of the people and organizations I was interested in. I liked the evening activities at Eastway because it was just time to chill and really get to know people. ,I believe I am expected to succeed academically but also connect with my peers and grow to be a better person equipped for my purpose in life.,One thing to change is to say on the packing list to bring a blanket or bedding. I didn't bring any and I had to borrow from the RA.   One other thing is the first day is so long and so overwhelming I just think their might be a better way to do it. 
,,,,,To be an upstanding student and citizen both in and outside of the classroom.   ,
I just think maybe allowing them to use a calculator because we had one in high school,The services were down/ slow which it took longer than it should have. ,,Navigating around calpus,I enjoyed the flashguides I felt like whenever they talked to us it was interesting.,To always do your best and show up to class,
,,"There was a lot of sitting around. I wish there would have been like tables to sit at instead of just chairs, that would also be more helpful for parents to take notes.",,my favorite part was the scheduling and getting to explore campus!,To exceed in what I believe I can achieve,
,,,,,To succeed  ,
,I have not sure if the advisor I was meeting with will actually be my advisor once school starts or if I just stepped into a random advisors office ,,,Walking around campus and the city getting to know my way around.,A high level of conduct,
,,,,"Being around the Flashguides. They all have wonderful personalities, and were an honest joy to be around the entire time. Without them, the whole experience would be completely different and would not have any of the fun if they were not a part of them. ","To not only focus on my academics and achieve high, but also to get involved and leave my mark on the Kent State Community!",
No. ,I enjoyed the help and professionalism of the advisors I talked with. ,,Campus layout. ,Flash guides exposing us to the people around us. ,To actively engage in the world around me and become part of the school as a whole. ,Overall I really enjoyed my stay. 
,,,What books are necessary for which classes (after we schedule them of course).,Truly I liked walking around Akron/Kent away from Flash guides or parents. I enjoyed the freedom,To discover who I am as a person and to grow positively.,"I'm very excited to come to Kent State. Even though I didn't find any friends at DKS I'm not discouraged as about 25,000 people go to school there so I'm bound to make friends."
,,,,Registering for my classes,To be a good student,
,,,I think a bigger tour may help because I only was in like 3 buildings and that doesn't really help me.,The advisor meeting,To constantly be pushing myself and getting involved and also having fun experiences.,
,It was kind of overwhelming and somewhat unclear on the core and electives. I didn't really understand until I met with an advisor one-on-one.,Very overwhelming.,How/Where to get books. ,Walking downtown. Met some really nice people while there.,To succeed in my classes and find something I love doing.,N/A
,She was very nice and knew what she was doing ,Na,N/a,The food,To try my hardest and connect with people ,Loved it 
,,,,,,
Have them take it before school is out ,It took a long time ,,,,,
,,,,,to succeed,
Take it serious,,,,,To be a hardworker and to be myself,
,,,,"My favorite parts of the Destination Kent State program were listening to the Fashguides' stories and advice from their presentations, and meeting with my academic advisor to schedule my classes. The advisor meeting and flashguides were informative and helpful.",As a student at Kent State I am expected to have a passion for my major and a passion for learning to strive for academic success.,
,My advisor was very kind and listened to every question I had. She explained everything I did not understand in a compassionate way.,,,My favorite part was being able to look at the mock dorm rooms in the caffateria during our lunch. It made me feel much more relaxed to go over which ones to pick in what order with my future roommate.,To get my degree and be successful.,
,"It would have been beneficial to converse with parents about classes before signing up for them; however, I do understand the idea to have students figure out which classes to take on their own. ",,,I liked meeting new people and having fun at the social meetings on the second day ,To discover new opportunities and maintain relationships as well as getting involved and staying diligent in my studies. ,
No,,,Finding your way around campus,The tour downtown,"Success, acceptance, and confidence in yourself",
"I hate being judged on online assessments, when my high school grades can prove my worth. ",,Boring speeches,,The food,Be successful & happy,
,It took a long time and the communication between the two schools I'm majoring in was poor.,,,I liked the flash guides.,To get good grades and to get involved.,
I loved DKS I met so many new people! I loved that the program was so organized!,,,,I loved getting to know the flashguides!,Stay on top of grades and get involved!,
"The foreign language placement test was very finicky and did not work well. I ended up needing an alternate link, and know that this was a problem for others as well. ",,,,,,
,,,,,To achieve greatness in my classes as well as to get involved on campus and stay connected.,I really enjoyed DKS!
I just felt like I was being talked at forever  Also I know it would take a lot more planning but I think that the days show have themes like each DKS day could be the college ur in because I met no one with my major and so I didn't connect with anyone really ,I didn't speak to an actual adviser I spoke to the guy who looks new... He is in the college of arts and sciences and he isn't like a full advisor so he didn't really care about what I was saying he just knew he had to cover these 10 questions and he did but he talked so fast that the information that he told me went in one ear and right out the other. ,,Where things are I want to know what building is for what and where I can go for what building by building.,The flash guides were dancing on the stage and we all played Simon says ,I think I'm expected to of well in class and to work really hard as a freshman to make new friends ,
It was very long and time consuming. I don't know if that was necessary.,,,"No, I covered just about everything and poured on the information.",The Flashguides!,To find yourself and be you.,
Make sure the online placement assessments use HTTPS automatically for better password security.,,,,,To be the best that I can be.,"I feel that learning from the flashguides was more relatable than an older person standing on high telling us to do things their way, even though they were giving the same message essentially."
,,,,,to excel,
No,I had an amazing time meeting with my advisor but I wish the wait time took a little less time.,N/a,There should be more experiences with the flash guides because it's nice to know a students perspective on a lot of the topics.,I loved getting to go downtown with the new friends I made and then the social afterwards. I got to get closer with my new friends and do things out of my comfort zone.,"To be a dedicated student who is ready to find their purpose, stay on top of their work but also be involved.",I had an amazing time at DKS and the programs and flashguides were even better than expected.
,,,,,Accepting of others,
,,,How to get supplies ,Sleeping,To succeed ,
No,,,Learning how to get around campus,Creating my schedule,To succeed and to look back at college and think about your good experiences ,I thought orientation was very dragged out. It didn't need to be 1.5 days. Listening to the police and other officials are important but listening to person after person talk was very boring. 
,,,,,,
,,,"Maybe add a campus tour, just like an overview of where the most important things are.",Meeting new friends and also the food was great,"To do your work to the best of your ability, find yourself, and have school pride",
,,,More ice breakers among income students,Meeting with my advisor because she already knew what I needed to do before I did.,To positively make my mark on the school and find what I was meant to do.,
,,N/a,"More in your area of college , like college or nursing or business ",The flash guides & dr Laura ,Try hardest and represent school in a respectful way ,
,,,"I think that there should be more time to hear from the flashguides and their personal experiences, such as in the ""flashguide stories"" program.",My favorite part of the DKS experience was being able to interact with other incoming students and making new friends!,I believe that I am expected to work hard and be open to all those around me!,
,,,,,Graduate,
The Spanish placement assessment just froze and quit in the middle of me taking it. I'm not sure whether or not it was over and just didn't tell me or glitched out. ,,,,,Being successful ,
,,,I think there should be some sort of ice breaker or time for socializing at the beginning so you can make friends earlier in the day ,The flashguides were super nice and extremely helpful and made me want to apply to become a flashguide in the future. I also really liked meeting some new friends. ,To find my purpose and stay on track for graduation,
,,,,,to be me and learn how to live by my self ,
,,,,,,
,,,,,,
,,,,Ask the FlashGuides. They answered a ton of questions that really helped ,Get involved,
,,,,,Sucess,
,,,No,Scheduling classes ,To do your absolute best. ,
"I think it was a little difficult, because I took it months after leaving highschool so I had not reviewed math in a while. ",,,,,be prepared for class,
,,,,,,
Studying!!!!,She was very nice and helpful!!,I can not wait to start!!,Nope I loved it all!,I loved everything about at first I didn't like it but hen I met people and then I liked it!!!,Turning all your school work on time  and bring your own Affricate ,
,,They should talk more with the students about meal plans. The difference between the plan and flash cash ,Food plans ,Free tee shirts! ,To get involved and be a good influence as part of the flash family! ,
,,,,,I believe that as a kent state student I am expected to be an honorable lady and take pride in my school,
No,,,,,,
No.,,,,,"I am expected to be hard-working, respectful and proud. ",
No,My experience was awesome and my advisor answered all of my questions! She was very nowledgeable. ,I wish that we had had more time with the list of classes before the session that we filled out the classes that we wanted to take. ,What is entailed in the flash card and how to pay for everything. ,I loved being able to stay in the dorm with my roommate and see what the college life would be like. ,Get involved and have fun while having good academic success. ,There were some things on the information sent out prior to DKS like needing a pillow and blanket that weren't on the website and weren't as widely noticed and should have been. 
,,,,Learning about Kent State and getting advice from the Flashguides. ,To successfully earn a degree in my field while getting involved with school activities and having a good time. ,
,"Advising was extremely helpful and personalized, and made me feel even more like a true KSU student, and made me even more excited to attend in the fall, I couldn't be happier with how it went.",,,"I really enjoyed being able to be on campus, while having a large group of current students who were EXTREMELY happy to answer any questions, concerns, and help ease the nerves of beginning at a new, and far bigger school. The FlashGuides were extremely helpful, and gave fantastic advice, from how to start fresh, be ourselves, and even little fun things like where the best food on campus is, or how to know where the food truck is. I really enjoyed advising, and it was really helpful for me to have an adviser who listened, knew how to map my future in a way without overwhelming me, and she was able to ease a lot of my nerves for beginning Kent state. Following scheduling, the excitement of being a true student at KSU has built, and I can't wait now to begin classes.","Being open to opportunity, achieving academically, and being well rounded as a student who is both involved academically and through clubs. Being part of the KSU community, rather than just someone who attends the college.",
,,,,,To be successful as an individual inside and outside of the classroom,
The foreign language placement assessment functioned very poorly and hardly worked for me technically.,,,Meeting and communicating with your peers at DKS should be given more priority.,"The FlashGuides were incredibly helpful, friendly, and approachable. The perfect model students.","Pride, ambition, and the confidence to continue my academic career.",
Don't use ALEKS; it's a total pain to use.,Kris Braxton was excellent despite me having a very difficult situation with failing to transfer credit in and trying to register for classes that I officially didn't have the prerequisites for.,,,,Obey the rules and receive passing grades.,
,I made my schedule when we split into our individual colleges on the first day and just felt as if there wasn't much guidance. ,,More information in individual colleges,I liked going downtown and sleeping in the residence halls. It made me feel like an actual student ,I believe what is expected is getting involved and being proud of yourself and your school. ,"I feel that the program overall was a very good idea. But, it was very long and a lot of the information was already talked about in mailed pamphlets, on tours, etc. I liked the residence hall aspect so I wouldn't take that out, but I feel that the first day started very early so a lot of kids weren't enthusiastic about the program. I also feel that there should have been more down time for students to get to know one another. "
,,,,,To be the best I can be . To be successful as a nurse in the future ,
Make it easier to use the calculator.  ,"Gabby was amazing, she took extra time and effort to calm my worries and get me excited for the Fall!",,How to get around campus   ,The students  ,To get the best grades but also to enjoy yourself.  ,
