OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,DestinationKentState,anyAdditionalComments
A study guide that you can look over before taking the test so we can know what to expect. Or at least the types of math that the test will cover.,"They were all so so helpful. With my case specifically I know things were really complicated because I had a lot of transferable college credit, and I was between majors or even on the verge of being undecided. Despite how frustrated I was getting at myself for not being entirely sure about where I would or should be headed, they remained completely empathetic and so very helpful in  making sure that I made the right decision despite how long I sat in their offices contemplating what seemed like some very important decisions. Not only that but they successfully answered all my questions and remained patientnu at any of my redundancy. I can definitely see myself furthering my relationship with quite a few of the academic advisors in my time at KSU. ",,A lot of the people in the business section of it weren't very talkative. I think we were all just kinda enclosed within ourselves. I'm not entirely sure there's a way to fix that unless there are more ice breaker activities.,I think that destination KSU was very informative and helpful. My parents were also satisfied about their experience with the other parents as well as the information that the staff gave them.,"Meeting with the advisors. Like I mentioned in a previous section of the survey, they were so very helpful, patient, and empathetic. I felt like I could immediately be connected and comfortable with them which typically doesn't happen to me with most people. ",
,,,More time in smaller groups,,,"The program was overwhelming and stressful. It made me realize I don’t want to go to school here. There wasn’t a lot of time to interact with other students so it was difficult to establish connections. It was near impossible to sleep because people were running through the hallways screaming and slamming doors all night. The RA went down there three times and they still were loud. It wasn’t very fun at all and my guest that came with me didn’t like it either. I had a pretty bad experience in all honesty, enough that it chased me off from attending this late in the summer. I hope you improve the program for future students that way they don’t feel so uncomfortable, stressed, and out of place. "
No,,,,,,
,,,,,,
,I found that everyone was super helpful. I espicially enjoyed the session where we talked in our individual colleges about classes and worked through pre registration. ,,,,The people (the flash guides) and how organized it was. I was never lost or stressed. Everything went smooth for me and each session put me more at ease.,
No,,,,No,Free time at night to meet new people ,
,I felt my advisor really wanted to help and answered all my questions and some,,,,,
,,,,,,
N/A,,,,,,
,,,,,,
,,,starting more conversations ,meeting friends ,going out into major groups and walking to each building to talk,
,,,,,,
,,,,Nope,The night games and staying overnight in the dorms,
,"Kyle Lovell was very thorough, and provided information and guidance that I didn’t even think of needing prior to my appointment. It was extremely helpful.","For me, the never ending lectures was a bit dragging, but my parent thought it was fine, and expected that. ",,,,
It was a basic test. It was alright,More time to work with advisors ,,If I was more social ,Advisor appointment,Group chat with flashguide,
,,,More time to talk in a structured way with fellow students,,I really enjoyed connecting with the people in my college.,
,,,,,,
none,,,,,,
,,,,,,
,,,,,,
,,,"Nothing, I am someone who is not very social, so I tend to be quiet and mind my own. I am also very shy. I think the only way I didn’t connect with more than one person was because I chose not to. I think the group activities were great and helped others connect from what I could see from others. ","I just think books and supplies should have been talked about a little more because I do not know what or where to get books that I may need for a class, or an expected price range I can save up for. ","My favorite part about Destination Kent, was doing activities or getting with our groups to get to know each other & why they chose the same college category as you. I would’ve rather been more active and such rather than spending most of my time watching a presentation.","DKS was really fun and I thought it provided enough, great information which made me feel more comfortable coming into my first experiences of college. It helped relieve a lot of worry and left me with more excitement. "
N/a,N/a,,,,,
,,,,,Later in the evening on day 2 when we got to hang out and meet people and talk to one another. ,
,,,"More icebreakers, probably in smaller groups.",,The evening activities. We just hung out and had fun.,
,,,,,,
no,,,,,,
,,,,,,
,,,,residence halls ,flash guide stories,
,,,The fact that we all came without our parents.,,,
explain what math they will be going into. It was difficult to understand what each number sequence represented according to your math score. ,I learned a lot and how to schedule on my own when the time comes to register for spring classes. ,"I really enjoyed professor Danes Smith, I wish I had the opportunity to take one of her classes. ",Only talked to a few people really did not make a connection. There were no activists to get to know your peers. ,N/a,My favorite part was attending the meeting with professor Danes Smith. She really got the crowd involved and had a great time even early in the morning she had lots of energy that filled the whole room. ,N/a
,,,,,,
,,,,,,
,,,,Layout of the campus and locations of different buildings,"I liked talking to the flashguides and hearing their stories because they all had different experiences in their first years that people with different personalities could relate to, and they were all really friendly and welcoming.",
,,,,,,
,,,,I did not get to meet my roommate until 11 at night.   It would have been nice if we told who our roommate was so I could meet her before I am already in bed. ,Activities fair ,I have anxiety and am really nervous for leaving home    It would have been nice to meet a counselor so I know there is someone there for me    The financial aid speaker need to be more ingaged    (Parents were very bored)    I knew some high school friends already and was with them the whole time.  It would have been nice if we were forced to meet new people     I did not enjoy all the food we where given.  I wish we had more breakfast options 
,,,,,,
,,,,,,
,,,,,,
,,It was really nice to talk and get to know the flash guides,,,,
,,,,,The information given was very helpful.,
First time on campus and I have no regrets choosing Kent because I love it and the atmosphere!,Very helpful and help me understand the material.  ,FlashGuides were awesome!,He social hour at the end of day 1,"More free time at the end of the day, that was really nice",Social hour at the end of day 1 and the fair for free things at the start.,N/A
,,,,,,
,Very helpful and you can tell they really care about us. ,,,,Meeting new people. It was like the first day of high school and you dont know where you’re gonna sit for lunch but everyone’s so nice that everyone was just sitting wherever. It was a fun experience seeing everyone being so nice!,
,"It went very smoothly. I even had to do a change of major during the appointment, but it felt like it took no time at all.",,,,"The Flashguides were great. They were really fun to hang out and talk with. They made me feel included and one, when I didn't have anywhere to sit at lunch, invited me over. That's what led me to the group of friends that I made. The Flashguides were personally the best part for me. ",
,Very helpful with my questions and scheduling,,Getting out of my shell,,Getting to see what my future may hold and getting to know more about organizations I can get involved in,
,,,,,,
,,,,A set time on day one to tour campus at the most popular places ,,
,"It was very conversational, and my advisor was great about explaining the program and my schedule to me. The environment helped me feel more at ease and comfortable with my new environment.",,Informal time to chat with our college group and Flashguide really helped to provide an environment in which all of us were comfortable being ourselves and getting to know each other.,I think it would be helpful to talk a bit more about purchasing supplies.,"The activities the Flashguides were in charge of were my favorite part, and they really helped to create a welcoming environment.",
,"I am an exploratory-design. I was disappointed that the ""design"" co-registered course was closed out.",,,,Meeting my potential roommate for the first time in person. We had so much in common. The overnight was fun.,
No.,,,,More time on financial aid for students.,The walking tour downtown was fun because I got to walk around with friends and do my own thing.,
,,,,,,
,,,,,,
,,,,,,
,,,I don't know I met them at lunch. ,All the different halls and benefits of each. I'm still not sure which dorm I want to stay in. ,The flash guides and their enthusiasm. ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
no,,,,,,
,,,,,My favorite part was the First Class. I enjoyed how the professor keep everyone engaged and kept everyone laughing.,
,,,,,,
,"My academic advisor was incredibly kind and welcoming, and he was patient and informative when I had questions about different classes.  He also told me the names and locations of other people on campus that would be useful resources to me, and that helped me immensely.  ",,"I would have made stronger or more memorable connections through more icebreaker games, but the games that we did play and the activities we did do helped me to connect and bond with a great number of my fellow students.",,"My favorite parts of my DKS experience were the icebreaker games we played within my own college that helped me to become friends with several of the students within the college of EHHS, walking downtown and spending some time downtown with my new friends, and evening activities (especially dancing!) with the flashguides and my new friends.",
,,,,,,
I didn’t have to take the placement assessment ,,,,,,
,,,Eating made me sit down with people I didn't know,Finding your way around campus on your own ,Meeting new people and getting a taste of the freedom you'll have in college. ,
,I enjoyed the fact it wasn't treated like I was going in to just get it over with. We sat and talked like a normal conversation and she took the chance to get to know me.,,"We were randomly roomed together, but we had a decent amount in common and we stayed up for like two and a half hours talking at night ",,,
,My academic advisor seems very excited to help guide me through my academics. Extremely encouraging and I enjoyed talking to him!,The current students and staff at Kent State are extremly welcoming and are always willing to help. ,I’m introverted and have a little social anxiety so it would probably help if the DKS program had more one on one/small group discussions to help students get to know each other better who have similar interests.,"I think discussing the topic of anxiety and stress in college, which everyone gets, with students would help a lot. Informing them how to cope with it, how to get out of their comfort zone, and to not be afraid to face challenges would be very helpful. I’m aware they do this already with the Flashguides, but I think it would help more id the focus was on the incoming freshmen, not the flashguides only.",My favorite part was the staff giving us information on college in the KIVA. They were very real and enteratining when talking about tech or housing. ,I enjoyed DKS. The school makes me feel very welcome and I love the whole atmosphere of the school. I definently made me more excited to get to college.
,,,,,,
,,,,,,
,,,,,,
,I just wanted to say that the academic advisor I met with was very welcoming and I enjoyed my time with her. She made me feel very comfortable.,,"If I had possibly been persuaded, or even forced, to talk to more people then I think I would have made a few more connections. I’m a shy person so sometimes I need a little push.",,"Overall, being welcomed to my new home with open arms was the best feeling about DKS. I know this is where I want to be and I feel like I have great support from the faculty and other students.",
allow us to use a different calculator than the calculator on the computer (like one we own) and possibly run us through some questions similar to the placement test’s so we know what we need to “look forward to” ,,,apple juice #ifyouknowyouknow but i had a wonderful time making connections i feel like if i hadn’t stepped out of my comfort zone i wouldn’t have made the friends i did ,i really don’t know where things are around campus but i will obviously learn once i get there. if we maybe went over a bit more where things are in relation to eachother that would be helpful ,the flashguides !!!! if i hadn’t met them and realized how cool they were i wouldn’t have stepped out and made new friends !! the gold team is the best :) ,
,,,,,,
,,,,,,
,"i didn’t have my actual advisor but he was still there, i understand there is probably some very good reason as to why i didn’t get my actual advisor but i would love to have met him then to be able to make a connection that could last throughout my college experience.  ",,,off campus and then sources like grocery store or pharmacies ,the free time that we get ,
,,,,,,
,,,we all made a group chat and got to know each other prior to DKS,financial aid,"exploring downtown kent, sleeping in the dorms",
I kept getting kicked out while I was taking the test. And the it turned out they never ended up receiving my scores. So I now have to retake it. Even though I did already take it. ,,,,"Getting to know campus, different buildings and where each dining hall and different oppurtunities are. ",,
,,,,,,
,,,,,,
,"Even though I was exploratory major, I had a few field/major specific questions which I wasn't able to get complete/thorough answers for since my adviser was not specifically involved in those branches.",,,,,
,,,,,How helpful the guides were and how honest they were with you. They made it fun and entertaining. ,
,,,,,,
more buttons to make it easier to navigate,I had trouble finding classes that interfered with others.,More activities to get out of comfort zone and make friends,similar major focus or experiences,the struggles and how to manage (as told by the past students),lunch,
,,,,Finding my way around campus ,,
,,,Creating a group chat of some sort & exchanging social media.,Life within classes and time management ,Flashguife stories & evening events,
,My advisor was very helpful and was able to help answer my questions!,This opportunity was nice for nursing as it gave me a chance to ask questions and to consider the times of my classes prior to the meeting with my advisor.,,,I liked meeting with my advisor to understand my classes as it made me feel the most organized and ready for the fall.,
"too long and information overarticulated, but positive and friendly environment ",felt like I was being rushed to schedule (understandable with the volume of students but nonetheless too rushed) would have liked more time to talk with advisor ,"dining room too disorganized, downtown exploration was very helpful in orienting me",more free time,No,Scheduling,Na
,,,,,,
,,,,,,
,,,A seperate session just to meet friends with similar interests,Get to meet more professors!,"My favorite were the FlashGuides. Although it was cheesy, I loved them and I thought they were some great people. ",
,,,,,,
,"They were very helpful with scheduling classes that they felt would be a good fit for me, unfortunately I could not meet with a Digital media production advisor but the JMC advisor I did meet with was very easy to talk to. I felt respected and that my future success was a top priority.",,,,,All I can say is I 100% know I made the right decision coming to kent!
,My advisor was not helpful and did not seem to care about my college plans. The schedule given to me did not meet my needs as a student and commuter.,Boring and not very helpful,"Being paired with other people in your major, instead of a whole college department.",Discuss parking,,DKS made me question my decision of attending Kent State in the Fall and regret not looking into the University of Akron more during my college search.
,,,,,,
,,,Possibly more “teamwork” kind of things where we are forced to talk to other and get to know them.,Everything was explained very thoroughly and effectively.,"I greaty enjoyed meeting with my advisor. They weren’t anything like my guidance counselor back in high school, they really took the time to talk to you about your interests and goals and genuinely want you to achieve and grow at Kent. ",
I think the test itself is okay and there was really no problems with it.,,,more icebreakers in the beginning of the day instead of the very last activity on day 1.,navigating campus.,I enjoyed the lecture that Professor Smith gave! It was very engaging and interesting.,The overall experience of DKS was good. I really loved the enthusiasm of the FlashGuides! Everything was very well organized as well.
,,,,,,
It was an awesome experience. Flash guides were super awesome. I made a lot of friends.,,,Similar circumstances.,,,
,She was really nice,,Having more of us getting to know others than just sitting in a room all day having us listen to the same things over and over.,"Parking, books, jobs",Food,"They need to give us room assignments before we get there so we can actually see our dorm. They also need to review our transcripts before we get there so we can get our official schedule. Also more breaks because all of the info being thrown at us is overwhelmingly, and more about your individual major and less just general things "
,Love Karl! He’s an amazing advisor,,,A walking tour to refresh the minds of those who took campus tours a while before going tovDKS,Meeting new people and being able to be comfortable with them ,"Had an amazing time, 10/10"
The tools were hard to use/understand ,They were very nice and understanding to my questions,,,I would have liked to see the campus more,Getting to stay in the residence hall,
,,,More time in between things to talk to them,,The flashguide stories,
,,,Wasn’t a lot of people who had same interests as me there the same day,,Flash guides,
,,,,,,
,,,,,,
,,,,Residence hall options,Downtown tour,
,,,"Different types of activities. Everything was very loud, fast-paced, and bold. That's great for a lot of people, but something quieter and more relaxed would've been better for me. Maybe like some form of art activity or video games.","Financial aid, loans, and the different clubs and organizations","I liked the ""Meet the Flashguides"" portion, specifically Bella's story. I just thought that part of DKS was entertaining, and I enjoyed listening to the real experience and advice from older college students. I especially liked Bella's because of how real and easy it was. She spoke to us just like she was talking to some friends, not like she was a guide trying to keep students' attention. ",
,,,,,meeting people,
,,,,,,
,,,,,,
,,,"more ""ice beaker"" activities",,"being able to stay in a room with a peer and having the option to pick a roommate if I knew someone coming. My roommate and I chose to come to DKS at the same time, she is from out of state so being able to room with her gave me a sneak peek with how this year will go. I am so happy with my roommate pick but, I wouldn't have been able to know that without this rooming opportunity.",
,,,,,,
"No, it was very straight forward. ",It was a very smooth and helpful experience. My advisor was really nice and helpful when it came to scheduling my classes and where my classes are located on campus. ,"it was a little long and a bit of an information overload, however I felt it was a good transition from high school to college especially for students out-of-state.  ","meeting with kids in the same major. It would have been nice to have a little more ""get to know each other time"" not only with students in the same major but students in other majors as well. ",residents halls and student activities. ,hanging out with everyone and going into the little town of Kent. ,
,,,,,,
,,,,,,
,"I thought my advisor was very attentive and helpful, but I wish we could meet with them before we registered in order to help me figure out which core classes to take.",,I guess spending more time with someone based on defined factors (same majors or similar interests).,"Initially it was hard for me to figure out the layout of the campus, so perhaps a walk around campus that gets students an idea of the layout.","I enjoyed the free time given to us after dinner on the first day, where we could choose to walk to downtown Kent or hang out in the basement of the Student Center. I partook in both, as well as strolling around campus, going at my own pace. I liked the independence given to me and believe that it gave me a taste of college life.",
,,,,,,
,,,,,,
,,,,,,
Just let them know about it I found out when I loged into the flashline so maybe a heads up,N/A,N/A,meet and great maybe ,no,My roommate and spending down time with her,nicely done I loved the DKS team they were good 
,,,be introduced to each other,,,
Give learning modules before the first time they take the test,,,,,,
,,,Activities that force me to collaborate with new people.,,Ice breakers that Thomas did with the vines.,
N/a,,,More time ,Campus as a whole we only stayed in one section of campus ,,
Make it clearer to the students who don’t need to take it that they don’t need to. I didn’t know I didn’t need to take it until afterward.,,,More small group time.,,,
,,,,Touring the whole campus: showing all the buildings,Your First class experience was great because not only spark my interest for a class but it also taught me note- taking skills that work for college and not high school. ,
,,,,,,
,,,,No,When we broke into groups based on our college and got to ask the flashguide questions,"I think it could be cut a little shorter. All information was useful but a bit drawn out at times. But overall great experience, I liked how it was fun and not too serious all the time."
When trying to take an assessment for asl I kept being sent to a page that no longer existed and for my math placement test my flashline said I did not need to take a placement test but I was told I should have taken one before I arrived,The advisor I met with was very nice and helpful in helping me create a schedule I am completely happy with. ,,,,,
,She was very helpful and had answers for all of my questions. ,I feel they should add a list of all the jobs around Kent State. ,More games during the day. Games get people to connect. ,,The food and getting my flashcard. ,Thank you for making me feel at home. 
,,,,,,
,,,,,,
Give students more time for learning modules and to let students know that the scores also correlate with ACT scores ,The only “complaint” I have is I really didn’t like all the sitting we did for the first half of the first day but other than that I was highly satisfied!,,,,"My favorite part was the flashguide stories! They really made us see that everyone has struggles their first couple of semesters at Kent, but that’s okay because no one is in it alone and you have so many organizations and resources that are there for you. ",It was a really nice and fun experience!! Thank you! 
no,,,ice breaker with everyone ,A lot of acronyms were used that I didn’t know so spending time on what each thing is called ,Making friends and learning about college vs high school. Specifically the flash guide stories when we broke off and talked with our individual guides. ,
,,,I thought that the way I made connections was very natural and I was glad that it was not forced. I think that possibly meeting with one's roommate when they arrive would be helpful to make at least one connection going into the program.,,My favorite experience was going to downtown Kent where the group of students got to connect and explore the restaurants and shops there,Making the signs/paperwork for getting to the check-ins clearer would be helpful to those who have never been on campus especially with construction blocking roads and entrances
,,,,,,
,,,More time for socialization. Maybe spread sessions out more so there is more time for student activities.,More time to tour the entire campus because I still feel somewhat lost. Also more socialization time for the students.,Spending time with peers and escorts. ,
,"The meeting was quick and easy, and I got my ideal schedule.",,,"Maybe add in tours of residence halls, other than eastway.",My favorite part was being able to walk downtown and go to the party in the student center with friends.,
,,,More opportunities to hang out with other incoming students similar to the evening activities,Spend more time on buying books and materials,"Speaking with an academic advisor, my advisor was very engaged and helpful. She gave great advice that seemed personal for my experience as opposed to generic answers.",
,,,,,,
,,,,,,
,,,,,,
,,,,,My favorite part would have to be is scheduling classes. It’s been I’ve been looking forward to with DKS and it was a satisfying feeling knowing I have a big part of my Freshman journey complete. The advisor was extremely thorough and open to my input for the schedule as was I with her which lead to a realistic set of classes for my fall term. It was overall awonderful experience. ,
,I enjoyed the meeting but I realized I wasn't even meeting the advisor for my major and I felt like she was kind of talking down my major but beside that she was great and pretty helpful.,,I felt more group talk earlier in the day would be helpful.,More time with your separate college.,My favorite part was the walk downtown and the party afterwords.,
,,,more ice breakers,,,
,,,,,,
,,,,,,
,,,,,,
,"My academic advisor was incompetent. He tried to schedule me for a senior seminar even though I am a sophomore. Nobody in any of the offices wanted to give me a clear answer. There were no classes available for my degree. I was told to just take random classes so I could make it to 15 credits. Had I not already gone here, I would not have known any better and let them screw my schedule up. I am very unsatisfied with the schedule that was dealt and the overall experience. I had to set up an advising appointment with someone from my department because of how bad my schedule is. ",A waste of time. All of the information I was given I had already known. ,Not necessary ,No,I did not enjoy any of it. I found it very unnecessary ,"This was a very big waste of time. After being forced to attend two CCP orientations, I had to hear all of the information for the third time. I will be a junior this year and think it is absolutely ridiculous that my time was wasted like this. Due to the fact that I had to wait until this orientation to schedule classes, I was unable to schedule the classes I need as I have limited options at this point. My advisor was no help at all and screwed up my schedule very badly. The people in the registration portion of advising were also no help at all. As I do not plan on living on campus, I am not sure why I was forced to spend the night. Everything was extremely, extremely, unnecessary. I enjoyed my previous two years at Kent State but this experience left me very disappointed with the University. I hope some measures are taken in the future so CCP students do not have to go through this process. "
,"My advisor was very helpful and kind, she made me less afraid for this transition!",,"There was a lot of people who made groups and excluded others, maybe if there were random group assignments for the activities, etc.",Spend more time on what we are supposed to bring for our dorms/classes. ,Making friends that I was not expecting to make before coming to dks.,
 I was a CCP student  and I do not believe that I should have had to attend destination kent state. It was a waste of my time and did not learn anything. I knew what was being presented to me. I do not think anyone let alone former CCP students should have to spend the night. I should have been able to  schedule my classes earlier and not during destination kent state because it was a hold back. I am only upset because I was CCP. , My academic advisor had no faith in me about pursuing a major in Aeronautics.  He made several phone calls and stepped out of the office several times during our meeting with  no explanation. I started to cry because I he made me feel small and that I was not able to pursue this major. I left his office and switched my major. , It does not really matter what I put in this box because a formal complaint will be made. ,NA,, Filling out the survey ,
,"Even though I changed majors two days prior to my DKS, I was still able to be accommodated with little hassle! That was nice!",,,,The flashguides were definitely the best part! They were very kind and welcoming!,
,,,,,,
,,,being put into more and different smaller groups to talk to people rather than just grouping people together based on colleges ,a campus tour,I thought the most interesting and beneficial part was hearing the flashguide stories because they were very relatable and made my feel more comfortable about starting college.,
,,,,,,
,,,Team building activities,,,
,,,"They were kind,very respectful, fun and understanding.  ",They should have guides walk at a steady slow pace to help students feel accepted and Aldo help them if they don't know their way around. ,"Sleeping in the dorm for the first time, line dancing, and scheduling classes. ",
,,,,Have flashguides help you walk your schedule and find the right buildings,I found my roommate through DKS,
,I met with a person who probably is not a full time advisor in my program of study. I would have preferred to meet with a current seasoned staffer,,perhaps know which other kids were NOT from Ohio,,,
,,,,,The breakout sessions by college.  Very helpful.,
,,,,,,
,,,,,,
,Maria was great!!!,,More down time to interact ,,,
,,,"More time to meet people on my own, instead of activities with certain people ",,The free where I got to do my own thing ,
,,,,,,
,,,,,,
,- have us sit next to the advisor instead of across (if possible) because it'd be easier   - have advisor use VSP (or whatever the colored planning program is called)  - explain more ---> if you are waiting on credits to transfer what are the steps to take and how could that impact your schedule,,- being in small groups (in and outside of your college)    - doing (bonding) activities together     - less lecture (you have to be quiet and pay attention = hard to socialize)    - walk through campus?,- i think that there should be an optional time during days 1 and 2 for people to meet with their roommates (it could be a break for other people) because my roommate and I live in different states but we planning on meeting at DKS    - full campus tour (there was an optional one but we went to other optional ones instead and didn't get enough time to tour)    - more time with the flashguides ---> it was really great to get to know them but would have liked to talk more with them,the resource fair and registering for classes    resource fair:  it was really fun to see what is offered at Kent and interact with others and potentially get spirit items (Kent pens/stickers/backpack/shirts)    register:  was what i was waiting for throughout all of day 1 and 2. I was really nervous and SUPER excited  ,thanks for all of the hard work that made this experience possible!!
,,,,Financial aide and  loans,Meeting others and experiencing college expectations  ,
YOULL HAVE A WONDERFUL TIME!!,,,,,,
not as long as it should take... easier questions ,very easy and understandable... i had a great experience ,i learned a lot and everything i wanted to know about it ,a better hang out after everything was done ,getting books and stuff for classes ,scheduling my classes and seeing downtown ,
,,,If we got in smaller groups and got to know more people better. ,,Small group talks and walking downtown ,
,,,,,,
"I really enjoyed hearing from some of the Flashguide’s stories about what hard ships they faced, if any. I liked being able to hear about all the services available to students on campus because prior to this I had some knowledge about what was available but I didn’t know everything.",I liked that the advisor really tried to see what my interests are and told me what needed to be done for each minor I was interested in pursuing. My advisor also gave me some contact information for those who know the most about each course.,,The late night activities helped. It was nice to have a chance at meeting and possibly connecting with other people there.,,,
No,,,,No,Meeting my roommate ,
,,,More free time and making the people at DKS get up and making sure they put themselves out there to at least 3 people,"More time seeing the campus, instead of us following someone maybe instead look at a map and figure it out.",The free time and walking downtown with my roommate and friends.,
,,,,,,
,Have my actual advisor there ,,"Ice breakers that were good. Not rock, paper, scissors ",Give us helpful tips,,
,,,,,,
,,,,,,
,,,Finding ways to mix up the freshmen more,,,
,,,,,,
,The seminars were long and repetitive. We felt it could’ve been done in one day. ,,,,,
,,more future planning ,dorm rooms ,how to get around campus ,flash guides stories. nice to hear they went through some struggles like all people ,
,,,,,,
,,,random assigned group activities to break up highschool groups of friends and make everyone branch out more,no,"on day one, going to our academic colleges and talking with faculty and staff",
,,,Same classes,,The food,
,,,shared interest or major,,"the time spent with flashguides, it's comfortable to be spoken to and with at a level and pace that your peers match",
,,,,how to order books ,,
,,,,,,
,,,More personalized activities ,What classes work best for majors,I enjoyed the walk downtown and being able to experience the activities and resources available to me as a future student ,
,,,,Tours around campus ,,
,Was hard to meet with individuals because people were in cliques.,,Having a ice breaker that involves talking to individuals,,The part where we all had a little dance party outside of the student center.,
,,,,,My favorite part about DKS was learning about what college will look like for me this fall and the upcoming years.,
,,,,,When the Flashguides told us there stories of getting into college. ,
,,,,,,
,,,,,,
More awareness about it so students don’t miss the deadline ,,,,,,
,,,Putting us into our majors like they did. ,I think they should keep a session after your advising to help students find their classes. ,Walking downtown kent was the best because I had never seen it before. ,
,,,,,Talking with the flashguides because they really gave good advice and could tell me a lot of what college is like. ,
"No, I thought it was a good set up.",,,,,"The flashguides were amazing, super fun and extremely helpful and really tried to make you feel comfortable and a part of KSU",
,,,,,,
,,,,,,
,,,,,,
,,,,Navigating campus,,"This can easily be a one day process. Many of the sessions we sat through could have been explained in an email or by letter. I understand the need for students to fully understand how everything works, but most agreed that some parts could have been left out and everything could have been done in one day. "
,I learned what I need to do in order to get into the nursing program. I didn’t however find out how to reapply or if it is hard to get into the program. I loved Shaunte! She was very nice!,,I think it would have helped for us to have to talk to everyone in our majors group. ,I would make everyone do a mandatory campus walk thru so everyone can somewhat know where everything is.,"I loved meeting people who will be going to Kent! My favorite part was talking to the flash guides. Thomas, Spencer, Diamond, Michelle, Vala, and Kenzie did an amazing job! They really helped me! Thomas was my favorite! He talked with me and answered all my questions and was just down to earth and an amazing person! ",I don’t think I would be excited as I am today without going thru DKS. I’m so excited to start in the fall. Everyone was so nice and just made me know that Kent is my new home!
,,,making us do more things together. more togetherness activities ,,,
,,,,,,
More free time. ,,,,,,
,,,,,,
,,,,,,
,,,Common majors and personalities ,,,
,,,Meeting my roommate for the night before we went to bed could have helped me to make a stronger connection.,,I really enjoyed getting to hear from/ ask questions of the flashguides,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,"I don't seek out much interaction except when forced. My roommate and I got along well, and that was good enough for me. ","I know that guests and parents spent time going over financial aid, but that was something that I would've liked to hear too. ",,
,,,,,,
,,,,Purchasing books and supplies and getting around campus ,The activities at night.,
,"It took a while to get called in, and there was nothing to do while waiting. ",,Lunch and the smaller groups were the time to get to talk to people and develop relationships.,,"Professor Smith's (if that was her name) lesson was great. I enjoyed the engagement, the material, and her as a professor. I felt more connected and excited to/for going to Kent after her presentation than most of DKS.     I believe a lesson like that would be better as an icebreaker than the ones we did. Most icebreakers try to break up the group in many small sections, but usually only result in awkward, uncomfortable situations. I enjoyed cheering on the rock paper scissors finalists more than I enjoyed playing myself. Coming together as a group in my eyes is more effective as an icebreaker rather than getting to ""know your neighbor"".     I also liked the smaller group session with the Flash Guides.","Some of the presenters were unbelievably boring. In my eyes, the presenter does not have to be from that department to give a presentation on the material. Bad presenters result in people not caring and falling asleep. The things that people remember and connect with were presented by good presenters. If someone cannot give a good presentation, it should be given to anyone else, even if they do not have first hand experience in the department. "
"I think if we were required to review before taking it, because I hadn't practiced precalc in a while, just to refresh our memories.",,,more smaller groups,No I think it was good timing ,"Touring downtown and the ""party"" at the end",
,,,,More breaks to check out the services that were being explained to us. It was one set of information after another and there was no time to physically see what Kent State has to offer. The information was also extremely repetitive and it was if the speakers didn’t talk with each other about their presentations and then decided to present on the same topics just worded differently. ,,"I also think we should have been given the option to stay off campus in a hotel if we so choose and if not then I don’t feel that we should be forced to stay in a room with a complete stranger. I get the whole “meet new people and make friends”, but having to share a room with someone is different. If a parent was present we should have had the choice to stay in a dorm with them. "
,"the people were all super friendly and nice, but It did take extra long for my session and that's ok.",,more icebreaker games,,everything,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DKS did a great job of giving me a good feel for what the college was like and what the and educators at Kent State are like. They really do care that you are on you’re on the right path to a successful college experience and ultimately a degree.,,,,Campus tour,Meeting other students,
,,,,,,
,,,,,,
"When I went to take the foreign language assessment, the assessment would not load and flash line would not show my final score. Also, it would not show that I took the assessment. ","The academic advisor that I saw was slightly confusing. He didn’t do a great job of explaining, although he did give me his card if I had any further questions.",I liked that I got the chance to read the course description and ask questions to students who had previously taken the class if there was anything I didn’t understand.,I made the connections at lunch and in the more interactive sessions. I was able to talk to other students in and out of my major and get to know who the other students are.,"I loved all of the presentations, but I felt like some of them were rushed and that some of the information was rushed through. Ex) during the campus security and Kent police presentation, I was unable to get the number down for non-emergency situations.",I loved being able to ask students what I can get from Kent and any weird questions I may not feel comfortable asking to an official staff member of KSU.,I loved the end of the night party. It helped to unwind and get to know other students.
,,,,,Day two when I could look at what I actually wanted to look at ,Too much unnecessary information 
,,,,Everything was touched on great.,Student Social,
When talking with my family member who attended as well it seemed as though they were told a lot of information the students were not such as the research projects and how to set up the financial aid plan. We sad through lengthy meetings all day discussing things we already knew. I feel as though a day and a half was not necessary when most of the information could be read in a packet. I was lead to believe the program would focus more on adjusted students and getting them used to Kent,,,More opportunities to engage with them with help of flash guides or activities ,Tell us what the research projects are,Flashguide stories because it helped a lot of students connect with them,N/A
,,,,Navigating around campus. ,,
,,,,Reviewing where everything is on campus ,Flashguides! They were extremely helpful and comforting ,
,,,More icebreaking activities.,"Buying books, education above all, navigating campus and best way to find events going on around campus. ",The ice breaking activities and the flash guides. ,
"There was not an answer choice for question #9 that said ""No Placement Assessment needed.""",,,Smaller group activities ,"Picking classes, navigating campus, dining, and housing",,
No! It was so fun and I enjoyed it!,,,,,,
,,,,,,
,,,,,Being free,
,,,More students who were similar to me,"Requirements for majors/ classes, dorms",My favorite part was the social events because it allowed everyone to get a feel for each other and what life is like on a college campus.,
,,,"Small group activities. There were some, but nothing to help with name memorization.",,,"In the pre-advising questionnaire, they included CCP (and I believe PSEO) ,but they didn't incorporate Early College. Although less common, there is a difference between CCP and Early College."
